stage,start,end,complete
Literature Review,13/05/2024,03/06/2024,FALSE
Methods Design,20/05/2024,03/06/2024,FALSE
Simulation Benchmarks,03/06/2024,10/06/2024,FALSE
Test-Retest Reliability Comparison,10/06/2024,01/07/2024,FALSE
Testing Other Datasets,17/06/2024,01/07/2024,FALSE
Data Analysis ,03/06/2024,08/07/2024,FALSE
Results Compilation ,10/06/2024,15/07/2024,FALSE
Drafting Report ,10/06/2024,15/07/2024,FALSE
Review ,15/07/2024,29/07/2024,FALSE
Final Edits,29/07/2024,05/08/2024,FALSE
,,,
